country,food_category,consumption,co2_emmission,food_division
Russia,Wheat and Wheat Products,130.99,24.98,Non-Animal
Russia,Rice,4.71,6.03,Non-Animal
Russia,Soybeans,0.05,0.02,Non-Animal
Russia,Nuts inc. Peanut Butter,1.62,2.87,Non-Animal
Rwanda,Pork,0.76,2.69,Animal
Rwanda,Poultry,1.34,1.44,Animal
Rwanda,Beef,2.53,78.07,Animal
Rwanda,Lamb & Goat,1.93,67.59,Animal
Rwanda,Fish,3.88,6.2,Animal
Rwanda,Eggs,0.16,0.15,Animal
Rwanda,Milk - inc. cheese,7.23,10.3,Non-Animal
Rwanda,Wheat and Wheat Products,11.34,2.16,Non-Animal
Rwanda,Rice,8.7,11.13,Non-Animal
Rwanda,Soybeans,1.93,0.87,Non-Animal
Rwanda,Nuts inc. Peanut Butter,0.58,1.03,Non-Animal
Saudi Arabia,Pork,0,0,Animal
Saudi Arabia,Poultry,49.05,52.69,Animal
Saudi Arabia,Beef,6.45,199.03,Animal
Saudi Arabia,Lamb & Goat,6.54,229.03,Animal
Saudi Arabia,Fish,11.99,19.14,Animal
Saudi Arabia,Eggs,5.37,4.93,Animal
Saudi Arabia,Milk - inc. cheese,83.65,119.15,Non-Animal
Saudi Arabia,Wheat and Wheat Products,89.47,17.06,Non-Animal
Saudi Arabia,Rice,36.02,46.09,Non-Animal
Saudi Arabia,Soybeans,0.05,0.02,Non-Animal
Saudi Arabia,Nuts inc. Peanut Butter,3.23,5.72,Non-Animal
Senegal,Pork,0.94,3.33,Animal
Senegal,Poultry,4.62,4.96,Animal
Senegal,Beef,5.85,180.52,Animal
Senegal,Lamb & Goat,3.19,111.71,Animal
Senegal,Fish,22.94,36.63,Animal
Senegal,Eggs,1.63,1.5,Animal
Senegal,Milk - inc. cheese,16.86,24.02,Non-Animal
Senegal,Wheat and Wheat Products,37.32,7.12,Non-Animal
Senegal,Rice,72.29,92.51,Non-Animal
Senegal,Soybeans,0,0,Non-Animal
Senegal,Nuts inc. Peanut Butter,4.03,7.13,Non-Animal
Serbia,Pork,32.04,113.41,Animal
Serbia,Poultry,10.64,11.43,Animal
Serbia,Beef,7.05,217.55,Animal
Serbia,Lamb & Goat,3.56,124.67,Animal
Serbia,Fish,5.59,8.93,Animal
Serbia,Eggs,8.89,8.17,Animal
Serbia,Milk - inc. cheese,148.53,211.57,Non-Animal
Serbia,Wheat and Wheat Products,105.88,20.19,Non-Animal
Serbia,Rice,1.22,1.56,Non-Animal
Serbia,Soybeans,0,0,Non-Animal
Serbia,Nuts inc. Peanut Butter,3.31,5.86,Non-Animal
Sierra Leone,Pork,1.22,4.32,Animal
Sierra Leone,Poultry,4.97,5.34,Animal
Sierra Leone,Beef,1.99,61.41,Animal
Sierra Leone,Lamb & Goat,0.65,22.76,Animal
Sierra Leone,Fish,32.03,51.14,Animal
Sierra Leone,Eggs,1.92,1.76,Animal
Sierra Leone,Milk - inc. cheese,7,9.97,Non-Animal
Sierra Leone,Wheat and Wheat Products,8.72,1.66,Non-Animal
Sierra Leone,Rice,103.3,132.19,Non-Animal
Sierra Leone,Soybeans,0,0,Non-Animal
Sierra Leone,Nuts inc. Peanut Butter,5.57,9.86,Non-Animal
Slovakia,Pork,31.78,112.49,Animal
Slovakia,Poultry,15.13,16.25,Animal
Slovakia,Beef,5.19,160.15,Animal
Slovakia,Lamb & Goat,0.16,5.6,Animal
Slovakia,Fish,8.39,13.4,Animal
Slovakia,Eggs,16.05,14.74,Animal
Slovakia,Milk - inc. cheese,143.14,203.89,Non-Animal
Slovakia,Wheat and Wheat Products,123.62,23.57,Non-Animal
Slovakia,Rice,2.88,3.69,Non-Animal
Slovakia,Soybeans,0.02,0.01,Non-Animal
Slovakia,Nuts inc. Peanut Butter,3.7,6.55,Non-Animal
Slovenia,Pork,28.19,99.78,Animal
Slovenia,Poultry,23.46,25.2,Animal
Slovenia,Beef,18.43,568.71,Animal
Slovenia,Lamb & Goat,0.79,27.67,Animal
Slovenia,Fish,7.76,12.39,Animal
Slovenia,Eggs,9.36,8.6,Animal
Slovenia,Milk - inc. cheese,235.01,334.75,Non-Animal
Slovenia,Wheat and Wheat Products,103.43,19.72,Non-Animal
Slovenia,Rice,3.95,5.05,Non-Animal
Slovenia,Soybeans,0.75,0.34,Non-Animal
Slovenia,Nuts inc. Peanut Butter,5.28,9.35,Non-Animal
South Africa,Pork,4.16,14.72,Animal
South Africa,Poultry,37.57,40.36,Animal
South Africa,Beef,18.03,556.37,Animal
South Africa,Lamb & Goat,4.28,149.89,Animal
South Africa,Fish,5.56,8.88,Animal
South Africa,Eggs,7.21,6.62,Animal
South Africa,Milk - inc. cheese,55.75,79.41,Non-Animal
South Africa,Wheat and Wheat Products,60.13,11.47,Non-Animal
South Africa,Rice,17.41,22.28,Non-Animal
South Africa,Soybeans,1.27,0.57,Non-Animal
South Africa,Nuts inc. Peanut Butter,1.04,1.84,Non-Animal
South Korea,Pork,32.76,115.95,Animal
South Korea,Poultry,16,17.19,Animal
South Korea,Beef,14.53,448.37,Animal
South Korea,Lamb & Goat,0.14,4.9,Animal
South Korea,Fish,33.09,52.83,Animal
South Korea,Eggs,11.24,10.33,Animal
South Korea,Milk - inc. cheese,29.05,41.38,Non-Animal
South Korea,Wheat and Wheat Products,50.84,9.7,Non-Animal
South Korea,Rice,85.18,109,Non-Animal
South Korea,Soybeans,8.35,3.76,Non-Animal
South Korea,Nuts inc. Peanut Butter,4.88,8.64,Non-Animal
Spain,Pork,48.92,173.15,Animal
Spain,Poultry,28.63,30.75,Animal
Spain,Beef,12.15,374.92,Animal
Spain,Lamb & Goat,2.16,75.64,Animal
Spain,Fish,28.83,46.03,Animal
Spain,Eggs,13.32,12.24,Animal
Spain,Milk - inc. cheese,164.29,234.01,Non-Animal
Spain,Wheat and Wheat Products,93.88,17.9,Non-Animal
Spain,Rice,8.32,10.65,Non-Animal
Spain,Soybeans,0.02,0.01,Non-Animal
Spain,Nuts inc. Peanut Butter,7.44,13.17,Non-Animal
Sri Lanka,Pork,0.05,0.18,Animal
Sri Lanka,Poultry,4.96,5.33,Animal
Sri Lanka,Beef,1.38,42.58,Animal
Sri Lanka,Lamb & Goat,0.09,3.15,Animal
Sri Lanka,Fish,24.92,39.79,Animal
Sri Lanka,Eggs,4.57,4.2,Animal
Sri Lanka,Milk - inc. cheese,34.98,49.83,Non-Animal
Sri Lanka,Wheat and Wheat Products,37.01,7.06,Non-Animal
Sri Lanka,Rice,109.72,140.41,Non-Animal
Sri Lanka,Soybeans,0,0,Non-Animal
Sri Lanka,Nuts inc. Peanut Butter,1.09,1.93,Non-Animal
Swaziland,Pork,2.43,8.6,Animal
Swaziland,Poultry,6.18,6.64,Animal
Swaziland,Beef,15.1,465.95,Animal
Swaziland,Lamb & Goat,1.94,67.94,Animal
Swaziland,Fish,1.26,2.01,Animal
Swaziland,Eggs,1.5,1.38,Animal
Swaziland,Milk - inc. cheese,56.6,80.62,Non-Animal
Swaziland,Wheat and Wheat Products,37.15,7.08,Non-Animal
Swaziland,Rice,21.15,27.07,Non-Animal
Swaziland,Soybeans,0.55,0.25,Non-Animal
Swaziland,Nuts inc. Peanut Butter,6.44,11.4,Non-Animal
Sweden,Pork,37,130.96,Animal
Sweden,Poultry,16.64,17.87,Animal
Sweden,Beef,24.58,758.49,Animal
Sweden,Lamb & Goat,1.41,49.38,Animal
Sweden,Fish,23.86,38.1,Animal
Sweden,Eggs,13.37,12.28,Animal
Sweden,Milk - inc. cheese,341.23,486.05,Non-Animal
Sweden,Wheat and Wheat Products,79.59,15.18,Non-Animal
Sweden,Rice,5.96,7.63,Non-Animal
Sweden,Soybeans,0.13,0.06,Non-Animal
Sweden,Nuts inc. Peanut Butter,6.23,11.03,Non-Animal
Switzerland,Pork,31.49,111.46,Animal
Switzerland,Poultry,16.38,17.6,Animal
Switzerland,Beef,21.26,656.04,Animal
Switzerland,Lamb & Goat,1.42,49.73,Animal
Switzerland,Fish,13.48,21.52,Animal
Switzerland,Eggs,10.53,9.67,Animal
Switzerland,Milk - inc. cheese,318.69,453.94,Non-Animal
Switzerland,Wheat and Wheat Products,89.51,17.07,Non-Animal
Switzerland,Rice,2.43,3.11,Non-Animal
Switzerland,Soybeans,0.44,0.2,Non-Animal
Switzerland,Nuts inc. Peanut Butter,9.27,16.41,Non-Animal
Taiwan. ROC,Pork,39.37,139.35,Animal
Taiwan. ROC,Poultry,32.13,34.51,Animal
Taiwan. ROC,Beef,5.21,160.77,Animal
Taiwan. ROC,Lamb & Goat,0.92,32.22,Animal
Taiwan. ROC,Fish,18.29,29.2,Animal
Taiwan. ROC,Eggs,13.08,12.02,Animal
Taiwan. ROC,Milk - inc. cheese,41.72,59.43,Non-Animal
Taiwan. ROC,Wheat and Wheat Products,50.92,9.71,Non-Animal
Taiwan. ROC,Rice,45.85,58.67,Non-Animal
Taiwan. ROC,Soybeans,16.95,7.63,Non-Animal
Taiwan. ROC,Nuts inc. Peanut Butter,9.06,16.04,Non-Animal
Tanzania,Pork,0.32,1.13,Animal
Tanzania,Poultry,1.84,1.98,Animal
Tanzania,Beef,6.09,187.92,Animal
Tanzania,Lamb & Goat,1.28,44.83,Animal
Tanzania,Fish,5.5,8.78,Animal
Tanzania,Eggs,0.58,0.53,Animal
Tanzania,Milk - inc. cheese,40.29,57.39,Non-Animal
Tanzania,Wheat and Wheat Products,15.94,3.04,Non-Animal
Tanzania,Rice,21.01,26.89,Non-Animal
Tanzania,Soybeans,0.04,0.02,Non-Animal
Tanzania,Nuts inc. Peanut Butter,5.94,10.51,Non-Animal
Thailand,Pork,13,46.01,Animal
Thailand,Poultry,13.69,14.71,Animal
Thailand,Beef,2.56,79,Animal
Thailand,Lamb & Goat,0.05,1.75,Animal
Thailand,Fish,19.45,31.06,Animal
Thailand,Eggs,12.35,11.34,Animal
Thailand,Milk - inc. cheese,29.35,41.81,Non-Animal
Thailand,Wheat and Wheat Products,10.93,2.08,Non-Animal
Thailand,Rice,114.57,146.62,Non-Animal
Thailand,Soybeans,2.13,0.96,Non-Animal
Thailand,Nuts inc. Peanut Butter,1.5,2.66,Non-Animal
Togo,Pork,1.57,5.56,Animal
Togo,Poultry,6.63,7.12,Animal
Togo,Beef,1.53,47.21,Animal
Togo,Lamb & Goat,1.58,55.33,Animal
Togo,Fish,11.69,18.67,Animal
Togo,Eggs,0.86,0.79,Animal
Togo,Milk - inc. cheese,7.96,11.34,Non-Animal
Togo,Wheat and Wheat Products,12.91,2.46,Non-Animal
Togo,Rice,25.99,33.26,Non-Animal
Togo,Soybeans,0.01,0,Non-Animal
Togo,Nuts inc. Peanut Butter,3.59,6.35,Non-Animal
Trinidad and Tobago,Pork,8.92,31.57,Animal
Trinidad and Tobago,Poultry,58.27,62.59,Animal
Trinidad and Tobago,Beef,6.13,189.16,Animal
Trinidad and Tobago,Lamb & Goat,2.79,97.71,Animal
Trinidad and Tobago,Fish,20.54,32.8,Animal
Trinidad and Tobago,Eggs,4.2,3.86,Animal
Trinidad and Tobago,Milk - inc. cheese,103.8,147.85,Non-Animal
Trinidad and Tobago,Wheat and Wheat Products,90.17,17.2,Non-Animal
Trinidad and Tobago,Rice,16.38,20.96,Non-Animal
Trinidad and Tobago,Soybeans,0.04,0.02,Non-Animal
Trinidad and Tobago,Nuts inc. Peanut Butter,3.78,6.69,Non-Animal
Tunisia,Pork,0,0,Animal
Tunisia,Poultry,18.5,19.87,Animal
Tunisia,Beef,5.53,170.64,Animal
Tunisia,Lamb & Goat,5.34,187.01,Animal
Tunisia,Fish,12.63,20.17,Animal
Tunisia,Eggs,7.67,7.05,Animal
Tunisia,Milk - inc. cheese,114.47,163.05,Non-Animal
Tunisia,Wheat and Wheat Products,197.5,37.66,Non-Animal
Tunisia,Rice,1.07,1.37,Non-Animal
Tunisia,Soybeans,1.88,0.85,Non-Animal
Tunisia,Nuts inc. Peanut Butter,6.34,11.22,Non-Animal
Turkey,Pork,0.01,0.04,Animal
Turkey,Poultry,18.78,20.17,Animal
Turkey,Beef,11.64,359.19,Animal
Turkey,Lamb & Goat,4.68,163.89,Animal
Turkey,Fish,5.58,8.91,Animal
Turkey,Eggs,8.2,7.53,Animal
Turkey,Milk - inc. cheese,193.94,276.25,Non-Animal
Turkey,Wheat and Wheat Products,169.96,32.41,Non-Animal
Turkey,Rice,10.74,13.74,Non-Animal
Turkey,Soybeans,1.71,0.77,Non-Animal
Turkey,Nuts inc. Peanut Butter,7.97,14.11,Non-Animal
Uganda,Pork,3.37,11.93,Animal
Uganda,Poultry,1.51,1.62,Animal
Uganda,Beef,5.15,158.92,Animal
Uganda,Lamb & Goat,1.25,43.77,Animal
Uganda,Fish,12.5,19.96,Animal
Uganda,Eggs,0.97,0.89,Animal
Uganda,Milk - inc. cheese,37.27,53.09,Non-Animal
Uganda,Wheat and Wheat Products,10.14,1.93,Non-Animal
Uganda,Rice,4.64,5.94,Non-Animal
Uganda,Soybeans,0.01,0,Non-Animal
Uganda,Nuts inc. Peanut Butter,3.77,6.67,Non-Animal
Ukraine,Pork,20.56,72.77,Animal
Ukraine,Poultry,24.23,26.03,Animal
Ukraine,Beef,8.96,276.49,Animal
Ukraine,Lamb & Goat,0.41,14.36,Animal
Ukraine,Fish,15.23,24.32,Animal
Ukraine,Eggs,18.01,16.54,Animal
Ukraine,Milk - inc. cheese,145.03,206.58,Non-Animal
Ukraine,Wheat and Wheat Products,105.15,20.05,Non-Animal
Ukraine,Rice,3,3.84,Non-Animal
Ukraine,Soybeans,0.02,0.01,Non-Animal
Ukraine,Nuts inc. Peanut Butter,2.68,4.74,Non-Animal
United Arab Emirates,Pork,0,0,Animal
United Arab Emirates,Poultry,41.04,44.09,Animal
United Arab Emirates,Beef,5.64,174.04,Animal
United Arab Emirates,Lamb & Goat,9.08,317.98,Animal
United Arab Emirates,Fish,20.41,32.59,Animal
United Arab Emirates,Eggs,8.23,7.56,Animal
United Arab Emirates,Milk - inc. cheese,132.66,188.96,Non-Animal
United Arab Emirates,Wheat and Wheat Products,101.29,19.32,Non-Animal
United Arab Emirates,Rice,56.25,71.98,Non-Animal
United Arab Emirates,Soybeans,0.08,0.04,Non-Animal
United Arab Emirates,Nuts inc. Peanut Butter,23.03,40.76,Non-Animal
United Kingdom,Pork,25.79,91.28,Animal
United Kingdom,Poultry,31.55,33.89,Animal
United Kingdom,Beef,18.12,559.15,Animal
United Kingdom,Lamb & Goat,4.49,157.24,Animal
United Kingdom,Fish,15.49,24.73,Animal
United Kingdom,Eggs,11.08,10.18,Animal
United Kingdom,Milk - inc. cheese,232.2,330.75,Non-Animal
United Kingdom,Wheat and Wheat Products,98.63,18.81,Non-Animal
United Kingdom,Rice,6.39,8.18,Non-Animal
United Kingdom,Soybeans,0.05,0.02,Non-Animal
United Kingdom,Nuts inc. Peanut Butter,4.18,7.4,Non-Animal
Uruguay,Pork,16.84,59.61,Animal
Uruguay,Poultry,27.45,29.49,Animal
Uruguay,Beef,29.1,897.96,Animal
Uruguay,Lamb & Goat,8.23,288.21,Animal
Uruguay,Fish,6.53,10.43,Animal
Uruguay,Eggs,13.14,12.07,Animal
Uruguay,Milk - inc. cheese,210.54,299.89,Non-Animal
Uruguay,Wheat and Wheat Products,109.31,20.85,Non-Animal
Uruguay,Rice,11.5,14.72,Non-Animal
Uruguay,Soybeans,0.01,0,Non-Animal
Uruguay,Nuts inc. Peanut Butter,0.95,1.68,Non-Animal
USA,Pork,27.64,97.83,Animal
USA,Poultry,50.01,53.72,Animal
USA,Beef,36.24,1118.29,Animal
USA,Lamb & Goat,0.43,15.06,Animal
USA,Fish,12.35,19.72,Animal
USA,Eggs,14.58,13.39,Animal
USA,Milk - inc. cheese,254.69,362.78,Non-Animal
USA,Wheat and Wheat Products,80.43,15.34,Non-Animal
USA,Rice,6.88,8.8,Non-Animal
USA,Soybeans,0.04,0.02,Non-Animal
USA,Nuts inc. Peanut Butter,7.86,13.91,Non-Animal
Venezuela,Pork,7.23,25.59,Animal
Venezuela,Poultry,39.28,42.19,Animal
Venezuela,Beef,25.89,798.91,Animal
Venezuela,Lamb & Goat,0.32,11.21,Animal
Venezuela,Fish,8.34,13.32,Animal
Venezuela,Eggs,5.63,5.17,Animal
Venezuela,Milk - inc. cheese,117.79,167.78,Non-Animal
Venezuela,Wheat and Wheat Products,49.17,9.38,Non-Animal
Venezuela,Rice,23.39,29.93,Non-Animal
Venezuela,Soybeans,0,0,Non-Animal
Venezuela,Nuts inc. Peanut Butter,0.35,0.62,Non-Animal
Vietnam,Pork,35,123.88,Animal
Vietnam,Poultry,12.36,13.28,Animal
Vietnam,Beef,7.44,229.58,Animal
Vietnam,Lamb & Goat,0.14,4.9,Animal
Vietnam,Fish,26.52,42.34,Animal
Vietnam,Eggs,3.84,3.53,Animal
Vietnam,Milk - inc. cheese,16.36,23.3,Non-Animal
Vietnam,Wheat and Wheat Products,10.49,2,Non-Animal
Vietnam,Rice,144.56,184.99,Non-Animal
Vietnam,Soybeans,5.75,2.59,Non-Animal
Vietnam,Nuts inc. Peanut Butter,6.28,11.12,Non-Animal
Zambia,Pork,1.66,5.88,Animal
Zambia,Poultry,3.29,3.53,Animal
Zambia,Beef,4.76,146.88,Animal
Zambia,Lamb & Goat,0.68,23.81,Animal
Zambia,Fish,6.2,9.9,Animal
Zambia,Eggs,3.32,3.05,Animal
Zambia,Milk - inc. cheese,9.71,13.83,Non-Animal
Zambia,Wheat and Wheat Products,12.1,2.31,Non-Animal
Zambia,Rice,3.05,3.9,Non-Animal
Zambia,Soybeans,7.3,3.29,Non-Animal
Zambia,Nuts inc. Peanut Butter,5.04,8.92,Non-Animal
Zimbabwe,Pork,2.65,9.38,Animal
Zimbabwe,Poultry,4.97,5.34,Animal
Zimbabwe,Beef,7.37,227.42,Animal
Zimbabwe,Lamb & Goat,0.96,33.62,Animal
Zimbabwe,Fish,2.8,4.47,Animal
Zimbabwe,Eggs,1.75,1.61,Animal
Zimbabwe,Milk - inc. cheese,31.9,45.44,Non-Animal
Zimbabwe,Wheat and Wheat Products,31.31,5.97,Non-Animal
Zimbabwe,Rice,10.09,12.91,Non-Animal
Zimbabwe,Soybeans,0.54,0.24,Non-Animal
Zimbabwe,Nuts inc. Peanut Butter,2.22,3.93,Non-Animal
