country,food_category,consumption,co2_emmission,food_division
Bosnia and Herzegovina,Nuts inc. Peanut Butter,2,3.54,Non-Animal
Botswana,Pork,0.74,2.62,Animal
Botswana,Poultry,5.33,5.73,Animal
Botswana,Beef,7.85,242.23,Animal
Botswana,Lamb & Goat,3.76,131.67,Animal
Botswana,Fish,3.98,6.35,Animal
Botswana,Eggs,1.95,1.79,Animal
Botswana,Milk - inc. cheese,117.74,167.71,Non-Animal
Botswana,Wheat and Wheat Products,38.2,7.28,Non-Animal
Botswana,Rice,7.06,9.03,Non-Animal
Botswana,Soybeans,1.16,0.52,Non-Animal
Botswana,Nuts inc. Peanut Butter,1.08,1.91,Non-Animal
Brazil,Pork,12.6,44.6,Animal
Brazil,Poultry,45,48.34,Animal
Brazil,Beef,39.25,1211.17,Animal
Brazil,Lamb & Goat,0.62,21.71,Animal
Brazil,Fish,10.01,15.98,Animal
Brazil,Eggs,8.98,8.25,Animal
Brazil,Milk - inc. cheese,149.28,212.63,Non-Animal
Brazil,Wheat and Wheat Products,53,10.11,Non-Animal
Brazil,Rice,32.13,41.12,Non-Animal
Brazil,Soybeans,3.62,1.63,Non-Animal
Brazil,Nuts inc. Peanut Butter,0.67,1.19,Non-Animal
Bulgaria,Pork,26.26,92.95,Animal
Bulgaria,Poultry,20.68,22.21,Animal
Bulgaria,Beef,3.84,118.49,Animal
Bulgaria,Lamb & Goat,1.63,57.08,Animal
Bulgaria,Fish,6.24,9.96,Animal
Bulgaria,Eggs,8.36,7.68,Animal
Bulgaria,Milk - inc. cheese,155.71,221.79,Non-Animal
Bulgaria,Wheat and Wheat Products,121.17,23.11,Non-Animal
Bulgaria,Rice,2.24,2.87,Non-Animal
Bulgaria,Soybeans,0.04,0.02,Non-Animal
Bulgaria,Nuts inc. Peanut Butter,2.26,4,Non-Animal
Cambodia,Pork,6.52,23.08,Animal
Cambodia,Poultry,1.84,1.98,Animal
Cambodia,Beef,4.85,149.66,Animal
